"Cookie settings","Cookie instellingen"
"We use cookies to provide you with the best possible experience. They also allow us to analyze user behavior in order to constantly improve the website for you.","e gebruiken cookies om je de best mogelijke ervaring te bieden. Ze stellen ons ook in staat om gebruikersgedrag te analyseren om de website voortdurend voor jouw te verbeteren."
"Essential","Essentiële"
"Enables storage that supports the functionality of the website or app, e.g. language settings","Maakt opslag mogelijk die de functionaliteit van de website of app ondersteunt, bijvoorbeeld taalinstellingen"
"Analytics","Analytics"
"Enables storage (such as cookies) related to analytics, e.g. visit duration","Maakt opslag mogelijk (zoals cookies) met betrekking tot analytics, bijv. bezoekduur"
"Preferences","Voorkeuren"
"Enables storage related to personalisation, e.g. video recommendations","Maakt opslag met betrekking tot personalisatie mogelijk, bijv. videoaanbevelingen"
"Marketing","Marketing"
"Enables storage (such as cookies) related to advertising","Maakt opslag mogelijk (zoals cookies) met betrekking tot reclame"
"Learn more","Meer informatie"
"Accept All","Alles accepteren"
"Accept Selection","Accept Selection"
"Reject All","Alles weigeren"
